PRIMARY_SAMPLE_UNIT,YEAR,MONTH,DAY,STATION_NR,LAT_DEGREES,LON_DEGREES,DEPTH,UNDERWATER_VISIBILITY,MAPGRID_NR,HABITAT_CD,ZONE_NR,SUBREGION_NR,MPA_NR,SPECIES_NR,SPECIES_CD,LEN,NUM,TIME_SEEN,PROT,STRAT,REGION,DEPTH_CLASS,RUGOSITY_CLASS
641U,1999,6,2,2,24.44635,-81.99235,11,8,4677271,CONT_LR,4,8,0,253,EPI ITAJ,-9,1,2,0,FMLR,FLA KEYS,NA,NA
133U,2001,7,12,2,24.45105,-81.8774666,20.3,8,4894773,SPGR_LR,4,8,23,253,EPI ITAJ,150,0.5,1,1,FMLR,FLA KEYS,NA,NA
133U,2001,7,12,2,24.45105,-81.8774666,20.3,8,4894773,SPGR_LR,4,8,23,253,EPI ITAJ,105,0.5,1,1,FMLR,FLA KEYS,NA,NA
165U,2001,7,30,4,24.6254834,-81.1121499,5.8,8,6349868,SPGR_HR,4,9,15,253,EPI ITAJ,120,1,1,1,HRRF,FLA KEYS,NA,NA
131U,2002,5,30,2,25.03505,-80.3484666,20.1,8,7793845,SPGR_HR,4,11,5,253,EPI ITAJ,120,0.5,1,1,HRRF,FLA KEYS,NA,NA
131U,2002,5,30,2,25.03505,-80.3484666,20.1,8,7793845,SPGR_HR,4,11,5,253,EPI ITAJ,90,0.5,1,1,HRRF,FLA KEYS,NA,NA
482U,2004,8,5,1,25.0335667,-80.3498999,8.5,18.3,7790095,SPGR_HR,4,11,5,253,EPI ITAJ,120,0.5,2,1,HRRF,FLA KEYS,NA,NA
057U,2006,8,15,1,25.1237833,-80.2777333,8.2,15.2,7928895,CONT_LR,4,11,0,253,EPI ITAJ,115,1,2,0,FMLR,FLA KEYS,NA,NA
095U,2006,8,4,1,25.12125,-80.2991832,8.4,12.2,7887643,ISOL_MR,3,11,3,253,EPI ITAJ,80,0.5,1,1,OFPR,FLA KEYS,NA,NA
399U,2006,9,19,1,24.53885,-81.5727333,7.2,4.6,5472321,ISOL_MR,2,8,0,253,EPI ITAJ,150,0.5,3,0,MCPR,FLA KEYS,NA,NA
